	persName ektobe-headword.Source 1.fr	relation possibly-identical	death.Source 1.fr	death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	birth.Source 1.fr	birth when.Source 1		floruit.Source 1.fr	floruit when.Source 1		floruit notBefore.Source 1		floruit notAfter.Source 1		persName syriaca-headword.Source 1.syr	persName.Source 1.syr	persName.Source 1.fr	state office.Source 1.fr	state office.Source 1.fr	note relation.Source 1.fr	persName.Source 1.fr	persName.Source 1.fr	persName.Source 1.ar	Source 1	citedRange entry.Source 1	Source 2	citedRange fol.Source 2	New URI	person ana		
Noms 	ektobe Headword (no date)	Possibly Identical?							extracted date							Formes usuelles	Formes usuelles (syriaque)	Formes usuelles (syriaque)	Formes usuelles (français)				Formes usuelles (français)	Formes usuelles (français)	Formes usuelles (arabe)					Syriaca ID		Rôles	Remarks for SYRIACA
Isaïe de Scété 	Isaïe de Scété 																									2499	none			548	#syriaca-author 	Auteur	
Išo' bar 'Ali (9 s.)	Išo' bar 'Ali								9 s.	9 s.		750	0750	950	0950	ܝܫܘܥ ܒܪ ܥܠܝ	ܝܫܘܥ ܒܪ ܥܠܝ									2499	none			364	#syriaca-author 	Auteur	
Išo' bar Yuḥanon de Romnah Qasṭra (12-13 s.)	Išo' bar Yuḥanon de Romnah Qasṭra															Išo' le Scribe ou le Petit ܝܫܘܥ  ܝܘܚܢܢ (Jean XIV Patriarche d'Antioche)* 	ܝܫܘܥ  ܝܘܚܢܢ		Išo' le Scribe	Patriarche d'Antioche			Išo' le Petit	Jean XIV Patriarche d'Antioche		2499	none			224		Copiste / Illustrateur ; propriétaire ; annotateur	
Išo'dnaḥ de Baṣra (9 s.)	Išo'dnaḥ de Baṣra								9 s.	9 s.		750	0750	950	0950	ܝܫܘܥܕܢܚ	ܝܫܘܥܕܢܚ									2499	none			556	#syriaca-author 	Auteur	
Išo'yahb bar Malkon (12-13 s.)	Išo'yahb bar Malkon								12-13 s.	12-13 s.		1050	1050	1350	1350	ܝܫܘܥܝܗܒ ܒܪ ܡܠܟܘܢ	ܝܫܘܥܝܗܒ ܒܪ ܡܠܟܘܢ									2499	none			563	#syriaca-author 	Auteur	
Išo'yahb III d'Adiabène (580–659)	Išo'yahb III d'Adiabène		659	0659			580	0580	580–659							ܝܫܘܥܝܗܒ	ܝܫܘܥܝܗܒ									2499	none			561	#syriaca-author 	Auteur	
Jacques de Maypherqat	Jacques de Maypherqat															ܝܥܩܘܒ ܡܛܪܐܢ ܡܦܐܪܩܝܢ	ܝܥܩܘܒ ܡܛܪܐܢ ܡܦܐܪܩܝܢ									2499	none			179	#syriaca-author 	Auteur	
Jacques de Saroug (†521)	Jacques de Saroug		†521	0521					†521							ܝܥܩܘܒ 	ܝܥܩܘܒ 									2499	none			42	#syriaca-author 	Auteur / Attribué à	
Jacques d'Édesse (†708)	Jacques d'Édesse		†708	0708					†708							ܝܥܩܘܒ	ܝܥܩܘܒ									2499	none			113	#syriaca-author 	Attribué à	
Jacques le diacre 	Jacques le diacre 															ܝܥܩܘܒ	ܝܥܩܘܒ									2499	none			28	#syriaca-author 	Auteur	
Jacques Mirijan de 'Urdnus (†1804)	Jacques Mirijan de 'Urdnus		†1804	1804					†1804							ܝܥܩܘܒ ܥܘܪܕܢܣܝܐ	ܝܥܩܘܒ ܥܘܪܕܢܣܝܐ									2499	none			297	#syriaca-author 	Auteur	
Jean bar Ma'dani (†1263)	Jean bar Ma'dani		†1263	1263					†1263							(Jean XII Patriarche)*   ܝܘܚܢܢܒܪܡܥܕܢܝ	ܝܘܚܢܢܒܪܡܥܕܢܝ		Jean XII Patriarche	Patriarche						2499	none			236	#syriaca-author 	Auteur	
Jean bar Penkaye (7 s.)	Jean bar Penkaye								7 s.	7 s.		550	0550	750	0750	ܝܘܚܢܢ ܒܪ ܦܢܟܝܐ̈	ܝܘܚܢܢ ܒܪ ܦܢܟܝܐ̈									2499	none			821	#syriaca-author 	Auteur	
Jean bar Zo'bi (13 s.)	Jean bar Zo'bi								13 s.	13 s.		1150	1150	1350	1350	ܝܘܚܢܢ ܒܪ ܙܘܥܒܝ	ܝܘܚܢܢ ܒܪ ܙܘܥܒܝ									2499	none			823	#syriaca-author 	Auteur	
Jean Chrysostome († 407)	Jean Chrysostome		† 407	0407					† 407							ܝܘܚܢܢ ܦܡܐܠܕܗܒ	ܝܘܚܢܢ ܦܡܐܠܕܗܒ									2499	none			573	#syriaca-author 	Auteur	
Jean Damascène	Jean Damascène																									2499	none			575	#syriaca-author 	Auteur	
Jean d'Asie (6 s.)	Jean d'Asie								6 s.	6 s.		450	0450	650	0650	Jean d'Éphèse  ܝܘܚܢܢ ܕܐܣܝܐ	ܝܘܚܢܢ ܕܐܣܝܐ		Jean d'Éphèse							2499	none			74	#syriaca-author 	Auteur	
Jean de Bet Rabban (6 s.)	Jean de Bet Rabban								6 s.	6 s.		450	0450	650	0650	ܝܘܚܢܢ	ܝܘܚܢܢ									2499	none			824	#syriaca-author 	Auteur	
Jean de Dalyatha (8 s.)	Jean de Dalyatha								8 s.	8 s.		650	0650	850	0850	ܝܘܚܢܢ  Jean l'Ancien    	ܝܘܚܢܢ  		Jean l'Ancien							2499	none			826	#syriaca-author 	Auteur	
Jean de Tella († 538)	Jean de Tella		† 538	0538					† 538							ܝܘܚܢܢ ܕܬܠܐ, Jean bar Qursos, ܝܘܚܢܢ ܒܪ ܩܘܪܣܘܣ	ܝܘܚܢܢ ܕܬܠܐ	ܝܘܚܢܢ ܒܪ ܩܘܪܣܘܣ	Jean bar Qursos							2499	none			50	#syriaca-author 	auteur	
Jean le Stylite 	Jean le Stylite 																									2499	none			127	#syriaca-author 	Auteur	
Jean Maron 	Jean Maron 																									2499	none			832	#syriaca-author 	Auteur	
Jean Naqar (9 s.)	Jean Naqar								9 s.	9 s.		750	0750	950	0950	ܝܘܚܢܢ	ܝܘܚܢܢ									2499	none			96	#syriaca-author 	Auteur	
Jean X bar Šušan (†1072)	Jean X bar Šušan		†1072	1072					†1072							ܝܘܚܢܢ ܒܪ ܫܘܫܢ	ܝܘܚܢܢ ܒܪ ܫܘܫܢ									2499	none			193	#syriaca-author 	auteur	
Jérôme de Stridon (†420)	Jérôme de Stridon		†420	0420					†420																	2499	none			857	#syriaca-author 	Auteur	
Kamis bar Qardaḥe (15 s.)	Kamis bar Qardaḥe								15 s.	15 s.		1350	1350	1550	1550	ܟܡܝܣ ܒܪ ܩܪܕ̈ܚܐ	ܟܡܝܣ ܒܪ ܩܪܕ̈ܚܐ									2499	none			587	#syriaca-author 	Auteur	
Lazare bar Sabta (9 s.)	Lazare bar Sabta								9 s.	9 s.		750	0750	950	0950	Philoxène de Bagdad, ܦܝܠܠܘܟܣܝܢܘܣ, ܠܥܙܪ	ܦܝܠܠܘܟܣܝܢܘܣ	ܠܥܙܪ	Philoxène de Bagdad							2499	none			149	#syriaca-author 	auteur	
Macaire le Grand (4 s.)	Macaire le Grand								4 s.	4 s.		250	0250	450	0450	Macaire de Scété ܡܩܪܝܣ ܪܒܐ	ܡܩܪܝܣ ܪܒܐ		Macaire de Scété							2499	none			856	#syriaca-author #syriaca-saint	Auteur / saint	
Marie (1 s.)	Marie															Vierge Marie   ܡܪܝܡ	ܡܪܝܡ		Vierge Marie							2499	none			624		Sainte	
Martyrius (Sahdona) (7 s.)	Martyrius (Sahdona)								7 s.	7 s.		550	0550	750	0750	ܡܪܛܘܪܝܣ	ܡܪܛܘܪܝܣ									2499	none			711	#syriaca-author 	Auteur	
Maruta de Tagrit (†649) 	Maruta de Tagrit		†649	0649					†649							ܡܪܘܬܐ ܕܬܐܓܪܝܬ	ܡܪܘܬܐ ܕܬܐܓܪܝܬ									2499	none			93	#syriaca-author 	Auteur	
Mas'ud du Ṭur 'Abdin (15 s.)	Mas'ud du Ṭur 'Abdin								15 s.	15 s.		1350	1350	1550	1550											2499	none			279	#syriaca-author 	Auteur	
Michel II de Mélitène 	Michel II de Mélitène 															ܡܝܟܐܝܠ	ܡܝܟܐܝܠ									2499	none			223	#syriaca-author 	Auteur	
Moïse bar Kepha († 903)	Moïse bar Kepha		† 903	0903					† 903							ܡܘܫܐ ܒܪ ܟܐܦܐ	ܡܘܫܐ ܒܪ ܟܐܦܐ									2499	none			173	#syriaca-author 	Auteur	
Narsaï (5 s.)	Narsaï								5 s.	5 s.		350	0350	550	0550											2499	none			650	#syriaca-author 	Auteur	
Nau, François (19-20 s.)	Nau, François								19-20 s.	19-20 s.		1750	1750	2050	2050											2499	none			652	#syriaca-author 	Auteur / Copiste / Traducteur / Annotateur	
Nestorius (5 s.)	Nestorius								5 s.	5 s.		350	0350	550	0550	ܢܣܛܘܪܝܣ 	ܢܣܛܘܪܝܣ 									2499	none			655	#syriaca-author 	Auteur	
Nil d'Ancyre (†après 430)	Nil d'Ancyre		†après 430		0430				†après 430							ܢܝܠܘܣ, Nil le Solitaire	ܢܝܠܘܣ		Nil le Solitaire	Solitaire						2499	none			657	#syriaca-author 	Auteur	
Pallade d'Hélénopolis	Pallade d'Hélénopolis															ܦܠܕܝܘܣ	ܦܠܕܝܘܣ									2499	none			668	#syriaca-author 	Auteur	
Philothée	Philothée															ܦܠܐܬܘܣ	ܦܠܐܬܘܣ									2499	none			848	#syriaca-author 	Auteur	
Proclus de Constantinople (5 s.)	Proclus de Constantinople								5 s.	5 s.		350	0350	550	0550	ܦܪܘܩܠܘܣ	ܦܪܘܩܠܘܣ									2499	none			688	#syriaca-author 	auteur	
Pseudo-Denys l'Aréopagite (5 s.)	Pseudo-Denys l'Aréopagite								5 s.	5 s.		350	0350	550	0550	ܕܝܘܢܘܣܝܣ	ܕܝܘܢܘܣܝܣ									2499	none			452	#syriaca-author 	Auteur	
Rabbula (†436)	Rabbula		†436	0436					†436							ܪܒܘܠܐ	ܪܒܘܠܐ									2499	none			944	#syriaca-author 	auteur	
Salomon de Baṣra (13 s.)	Salomon de Baṣra								13 s.	13 s.		1150	1150	1350	1350	Šlemon de Perat de Mayšan Salomon d’Akhlat ܫܠܝܡܘܢ ܕܦܪܬ ܕܡܝܫܢ	ܫܠܝܡܘܢ ܕܦܪܬ ܕܡܝܫܢ		Šlemon de Perat				Salomon d’Akhlat			2499	none			745	#syriaca-author 	Auteur	
Sargis bar Waḥle (15-16 s.)	Sargis bar Waḥle								15-16 s.	15-16 s.		1350	1350	1650	1650	Serge d'Azerbaidjan  ܣܪܓܝܣ ܕܐܕܘܪܒܝܓܢ	ܣܪܓܝܣ ܕܐܕܘܪܒܝܓܢ		Serge d'Azerbaidjan							2499	none			717	#syriaca-author 	Auteur	
Serge de Reš'ayna	Serge de Reš'ayna																									2499	none			49	#syriaca-author 	Auteur	
Sévère d'Antioche († 538)	Sévère d'Antioche		† 538	0538					† 538							(Patriarche)*  ܣܘܝܪܘܣ	ܣܘܝܪܘܣ			Patriarche						2499	none			51	#syriaca-author #syriaca-saint	Auteur / saint	
Sévère Sébokt († après 665)	Sévère Sébokt		† après 665		0665				† après 665							Sévère de Nisibe ܣܗܪܐ ܣܒܘܟܬ ܢܨܝܒܢܝܐ	ܣܗܪܐ ܣܒܘܟܬ ܢܨܝܒܢܝܐ		Sévère de Nisibe							2499	none			99	#syriaca-author 	Auteur	
Siméon de Bet Aršam (6 s.)	Siméon de Bet Aršam								6 s.	6 s.		450	0450	650	0650	ܫܝܡܥܘܢ ܕܒܝܬ ܐܪܫܡ  Šem'un de Bet Aršam  	ܫܝܡܥܘܢ ܕܒܝܬ ܐܪܫܡ  		Šem'un de Bet Aršam							2499	none			53	#syriaca-author 	Auteur	
Siméon de Samosate (8 s.)	Siméon de Samosate								8 s.	8 s.		650	0650	850	0850	ܫܡܥܘܢ ܕܫܡܝܫܛ	ܫܡܥܘܢ ܕܫܡܝܫܛ									2499	none			116	#syriaca-author 	Auteur	
Siméon le Potier (6 s.)	Siméon le Potier								6 s.	6 s.		450	0450	650	0650	 ܫܡܥܘܢ ܩܘܩܝܐ, ܫܡܥܘܢ ܓܐܫܝܪ, Šem'un de Gišir Šem'un Quqaya 	 ܫܡܥܘܢ ܩܘܩܝܐ	ܫܡܥܘܢ ܓܐܫܝܪ	Šem'un de Gišir				Šem'un Quqaya		 	2499	none			37	#syriaca-author 	Auteur	
Siméon le Stylite (†459)	Siméon le Stylite		†459	0459					†459							ܫܡܥܘܢ ܕܐܣܛܘܢܗ	ܫܡܥܘܢ ܕܐܣܛܘܢܗ									2499	none			744	#syriaca-author 	Attribué à	
Sophrone de Jérusalem (†634)	Sophrone de Jérusalem		†634	0634					†634																	2499	none			757	#syriaca-author 	Attribué à	
Šubḥalmaran (6-7 s.)	Šubḥalmaran								6-7 s.	6-7 s.		450	0450	750	0750	Évêque de Karka de Bet Slok, ܫܘܒܚܐ ܠܡܪܢ	ܫܘܒܚܐ ܠܡܪܢ			Évêque de Karka de Bet Slok						2499	none			746	#syriaca-author 	Auteur	
Théodore Abu Qurra († après 829) 	Théodore Abu Qurra		† après 829		0829				† après 829																	2499	none			782	#syriaca-author 	Attribué à	
Théodore bar Koni (fin 8 s.)	Théodore bar Koni								fin 8 s.	fin 8 s.		725	0725	825	0825	ܬܐܘܕܘܪܘܣ ܕܟܫܟܪ ܒܪ ܟܘܢܝ	ܬܐܘܕܘܪܘܣ ܕܟܫܟܪ ܒܪ ܟܘܢܝ									2499	none			783	#syriaca-author 	Auteur	
Théodore bar Wahbun (†1193) 	Théodore bar Wahbun		†1193	1193					†1193							ܝܘܚܢܢ, ܬܐܘܕܘܪܘܣ	ܝܘܚܢܢ	ܬܐܘܕܘܪܘܣ								2499	none			216	#syriaca-author 	auteur	
