New URI	Edition 1	citedRange entry.Edition 1		witnesses.Edition 1	Edition 2	citedRange vol.Edition 2	citedRange pp.Edition 2	MS 1	citedRange fol.MS 1	title syriaca-headword.Edition 1.en	title syriaca-headword.en	title.Edition 1.en	title abbreviation.en	title.en	title syriaca-headword.Edition 1.syr	title.MS 1.syr	author ref.Edition 1				relation dct---isPartOf.Edition 1	Translation 1	citedRange vol.Translation 1	lang.Translation 1
*** Syriaca Work ID	Syriac Corpus Bibl	Syriac Corpus Entry	Syriac Corpus URI	Witnesses of Syriac Corpus text	Transcribed Edition	Vols from transcribed edition (if relevant)	Pages from transcribed edition	Transcribed Manuscript	Manuscript Folios	English Title (Headword, Edition 1)	English Title (Headword, if different from Edition 1	English Title (Edition 1, if different from Headword)	English Abbreviation		Syriac Title (Headword, Edition 1)	Syriac Title (MS 1)	Author URI	Author Headword (not for export)	Is Part of Work URI	Number in Collection	Is Part of Work URI {number in collection}			
*** REQUIRED. Contains the new Syriaca.org URI to be assigned to each row.	bibl entry of Syriac Corpus in Syriaca.org	Entry title + [URI] (auto-generated)	Used to autogenerate citedRange entry.Edition 1	Names of columns containing ids of manuscripts, editions, etc. that are witnesses for this work. Separate multiple items with commas.	Use bibl URI (e.g., 2329 for Parisot)			Syriaca.org manuscript URI or shelfmark if there is no URI yet.	Folio numbers cited from MS 1	REQUIRED. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)					REQUIRED. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)	Syriac title according to source MS 1.	RECOMMENDED. (URI) The full Syriaca.org URI of the work author, according to Source 1. If there is more than 1 author from Source 1, duplicate this column.				OPTIONAL. (Syriaca.org URI) The URI of a Syriaca.org work which contains this work. Separate multiple URIs with commas. (If the URI contains commas [unlikely], replace them with "%2c".) The conversion automatically uses the value of the column name after "relation_" as the @ref of the <relation>, but currently only "possibly-identical" is defined in the column-mapping template. Triple-hyphens (---) in the @ref values are converted to colons (:) to allow prefixed namespaces. If the work should be assigned an order within the larger work, place the order number in { } after the containing work URI, separated by a space.			
8546	2331	On the Departed and the Resurrection  [https://syriaccorpus.org/44]	https://syriaccorpus.org/44	MS 1				BL Oriental 5463	68r-73r		On the Departed and the Resurrection 	On the Departed and the Resurrection (Memra 18)				ܡܐܡܪܐ ܕܥܠ ܥܢܝܕ̈ܐ ܘܥܠ ܚܝܬ ܡܝ̈ܬܐ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	18	http://syriaca.org/work/8528 {18}			
8547	2331	On Works  [https://syriaccorpus.org/45]	https://syriaccorpus.org/45	MS 1				BL Oriental 5463	315v-320v		On Works 	On Works (Memra 19)				ܥܲܠ ܓܡܝܼܪܘܼܬ ܕܘܼܒܵܪܹ̈ܐ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	19	http://syriaca.org/work/8528 {19}			
8548	2331	On Lent I  [https://syriaccorpus.org/46]	https://syriaccorpus.org/46	Edition 2	1765	1	167-181				On Lent I 	On Lent I (Memra 20)			ܕܚܲܕܼܒܿܫܲܒܵܐ ܩܲܕܼܡܵܝܵܐ ܕܨܵܘܡܵܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	20	http://syriaca.org/work/8528 {20}			
8549	2331	On the Temptation of Christ  [https://syriaccorpus.org/47]	https://syriaccorpus.org/47	MS 1				BL Oriental 5463	73v-78v		On the Temptation of Christ 	On the Temptation of Christ (Memra 21)				ܥܲܠ ܕܪ̈ܵܘܗܝ ܕܡܪܢ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	21	http://syriaca.org/work/8528 {21}			
8550	2331	On the Temptation of Christ  [https://syriaccorpus.org/48]	https://syriaccorpus.org/48	MS 1				BL Oriental 5463	97v-102r		On the Temptation of Christ 	On the Temptation of Christ (Memra 22)				ܥܲܠ ܕܪ̈ܵܘܗܝ ܕܡܵܪܲܢ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	22	http://syriaca.org/work/8528 {22}			
8551	2331	On Lent III  [https://syriaccorpus.org/49]	https://syriaccorpus.org/49	Edition 2	1765	1	181-194				On Lent III 	On Lent III (Memra 23)			ܕܚܲܕܼܒܿܫܲܒܵܐ ܕܲܬܼܠܵܬܼܵܐ ܕܨܵܘܡܵܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	23	http://syriaca.org/work/8528 {23}			
8552	2331	On Lent IV  [https://syriaccorpus.org/50]	https://syriaccorpus.org/50	Edition 2	1765	1	195-209				On Lent IV 	On Lent IV (Memra 24)			ܕܚܲܕܼܒܿܫܲܒܵܐ ܕܐܲܪܒܿܥܵܐ ܕܨܵܘܡܵܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	24	http://syriaca.org/work/8528 {24}			
8553	2331	On Reproof  [https://syriaccorpus.org/51]	https://syriaccorpus.org/51	Edition 2	1765	1	210-223				On Reproof 	On Reproof (Memra 25)			ܥܲܠ ܡܸܣܟܹܿܢܘܼܬܼܵܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	25	http://syriaca.org/work/8528 {25}			
8554	2331	On Lent V  [https://syriaccorpus.org/52]	https://syriaccorpus.org/52	Edition 2	1765	1	223-243				On Lent V 	On Lent V (Memra 26)			ܕܚܲܕܼܒܿܫܲܒܵܐ ܕܚܲܡܫܵܐ ܕܨܵܡܵܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	26	http://syriaca.org/work/8528 {26}			
8555	2331	On the Parable of the Ten Virgins  [https://syriaccorpus.org/53]	https://syriaccorpus.org/53	Edition 2	1765	1	243-256				On the Parable of the Ten Virgins 	On the Parable of the Ten Virgins (Memra 27)			ܕܚܲܕܼܒܿܫܲܒܵܐ ܕܸܫܬܵܐ ܕܨܵܘܡܵܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	27	http://syriaca.org/work/8528 {27}			
