New URI	title syriaca-headword.en		title syriaca-headword.Edition 1.syr	Corresponding work	Corresponding Work URI	idno URI	idno URI	idno URI	idno URI	idno URI
9635	The Two Books of Samuel (literary tradition)		ܟܬܒܐ ܕܫܡܘܐܝܠ	44	http://wwwb.library.vanderbilt.edu/work/44	https://en.wikipedia.org/wiki/Books_of_Samuel	https://www.wikidata.org/wiki/Q181620			
9640	Isaiah (literary tradition)		ܣܦܪܐ ܕܐܫܥܝܐ ܒܪ ܐܡܘܨ	23	http://wwwb.library.vanderbilt.edu/work/23	https://en.wikipedia.org/wiki/Book_of_Isaiah	https://www.wikidata.org/wiki/Q131458	https://viaf.org/viaf/185867018		
9641	John (literary tradition)		ܣܦܪܐ ܕܝܘܚܢܢ	75	http://wwwb.library.vanderbilt.edu/work/75	https://en.wikipedia.org/wiki/Gospel_of_John	https://www.wikidata.org/wiki/Q36766	https://viaf.org/viaf/181843811		
9643	Epistles of Paul (literary tradition)		ܐܓܪ̈ܬܐ ܕܦܐܘܠܘܣ ܫܠܝܚܐ	159	http://wwwb.library.vanderbilt.edu/work/159	https://en.wikipedia.org/wiki/Pauline_epistles	https://www.wikidata.org/wiki/Q265283	https://viaf.org/viaf/176999286		
9644	Catholic Epistles (literary tradition)		ܐܓܪ̈ܬܐ ܩܐܬܘܠܝܩܐܣ	160	http://wwwb.library.vanderbilt.edu/work/160	https://en.wikipedia.org/wiki/Catholic_epistles	https://www.wikidata.org/wiki/Q755655			
9645	The Four Gospels (literary tradition)		ܛܛܪܐܘܢܓܠܝܘܢ	161	http://wwwb.library.vanderbilt.edu/work/161					
9646	Matthew (literary tradition)		ܣܦܪܐ ܕܗܘܫܥ ܢܒܝܐ	28	http://wwwb.library.vanderbilt.edu/work/28	https://en.wikipedia.org/wiki/Book_of_Hosea	https://www.wikidata.org/wiki/Q184030	https://viaf.org/viaf/183467032	https://viaf.org/viaf/180609249	
9647	Mark (literary tradition)		ܣܦܪܐ ܕܡܪܩܘܣ	73	http://wwwb.library.vanderbilt.edu/work/73	https://en.wikipedia.org/wiki/Gospel_of_Mark	https://www.wikidata.org/wiki/Q107388	https://viaf.org/viaf/179823714		
9648	Luke (literary tradition)		ܣܦܪܐ ܕܠܘܩܘܣ	74	http://wwwb.library.vanderbilt.edu/work/74	https://en.wikipedia.org/wiki/Gospel_of_Luke	https://www.wikidata.org/wiki/Q39939	https://viaf.org/viaf/175769882		
9649	Judges and Ruth (literary tradition)		ܟܬܒܐ ܕܕܝ̈ܢܐ ܘܟܬܒܐ ܕܐܪܥܘܬ	165	http://wwwb.library.vanderbilt.edu/work/165					
9650	Judges (literary tradition)		ܣܦܪܐ ܕܕܝܢ̈ܐ ܕܒܢ̈ܝ ܐܝܣܪܐܝܠ	7	http://wwwb.library.vanderbilt.edu/work/7	https://en.wikipedia.org/wiki/Book_of_Judges	https://www.wikidata.org/wiki/Q81240	https://viaf.org/viaf/89144814454212127787	https://viaf.org/viaf/644144783030144873502	
9651	Ruth (literary tradition)		ܣܦܪܐ ܕܪܥܘܬ ܡܘܐܒܝܬܐ	8	http://wwwb.library.vanderbilt.edu/work/8	https://en.wikipedia.org/wiki/Book_of_Ruth	https://www.wikidata.org/wiki/Q80038			
9652	Numbers (literary tradition)		ܣܦܪܐ ܕܡܢ̇ܝܢܐ	4	http://wwwb.library.vanderbilt.edu/work/4	https://en.wikipedia.org/wiki/Book_of_Numbers	https://www.wikidata.org/wiki/Q43099			
9662	1 Kings (literary tradition)		ܣܦܪܐ ܩܕܡ ܕܡܠܟ̈ܐ	11	http://wwwb.library.vanderbilt.edu/work/11					
9664	Ammonian sections and/or Eusebian canons (literary tradition)			180	http://wwwb.library.vanderbilt.edu/work/180					
9665	Gospel harmony (literary tradition)			181	http://wwwb.library.vanderbilt.edu/work/181					
9666	Joshua (literary tradition)		ܣܦܪܐ ܕܝܫܘܥ ܒܪ ܢܘܢ	6	http://wwwb.library.vanderbilt.edu/work/6	https://en.wikipedia.org/wiki/Book_of_Joshua	https://www.wikidata.org/wiki/Q47680	https://viaf.org/viaf/181443388		
9670	Psalm 151 (literary tradition)		ܡܙܡܘܪܐ ܕܡܐܐ ܘܚܡ̈ܫܝܢ ܘܚܕ	39	http://wwwb.library.vanderbilt.edu/work/39	https://en.wikipedia.org/wiki/Psalm_151	https://www.wikidata.org/wiki/Q1052253			
9672	Psalms (literary tradition)		ܣܦܪܐ ܕܡܙܡܘܪ̈ܐ	19	http://wwwb.library.vanderbilt.edu/work/19	https://en.wikipedia.org/wiki/Psalms	https://www.wikidata.org/wiki/Q41064			
9677	The History of Bel (literary tradition)		ܬܫܥܝܬܐ ܕܒܝܠ ܦܬܟܪܐ	193	http://wwwb.library.vanderbilt.edu/work/193					
9678	The History of the Dragon (literary tradition)		ܬܫܥܝܬܐ ܕܬܢܝܢܐ	194	http://wwwb.library.vanderbilt.edu/work/194					
9679	Beth Mawthbe (Sessions)  (literary tradition)		ܒܝܬ ܡ̈ܘܬܒܐ	195	http://wwwb.library.vanderbilt.edu/work/195					
9685	The Synoptic/First Three Gospels (literary tradition)			201	http://wwwb.library.vanderbilt.edu/work/201					
9686	Tobit (literary tradition)		ܣܦܪܐ ܕܛܘܒܝܛ	64	http://wwwb.library.vanderbilt.edu/work/64	https://en.wikipedia.org/wiki/Book_of_Tobit	https://www.wikidata.org/wiki/Q131737			
9687	The First Two Gospels (literary tradition)			203	http://wwwb.library.vanderbilt.edu/work/203					
9692	The Last Two Gospels (literary tradition)		ܐܘܢܓܠܣ̈ܛܐ ܬܪ̈ܝܢ ܠܘܩܐ. ܝܘܚܢܢ	208	http://wwwb.library.vanderbilt.edu/work/208					
9693	The Remaining Apostolic Epistles (literary tradition)			209	http://wwwb.library.vanderbilt.edu/work/209					
9694	The Apostolic Epistles (literary tradition)			210	http://wwwb.library.vanderbilt.edu/work/210					
9695	The Book of Women (literary tradition)		ܟܬܒܐ ܕܢܫ̈ܐ	211	http://wwwb.library.vanderbilt.edu/work/211					
9696	Thecla (literary tradition)		ܬܫܥܝܬܐ ܕܬܩܠܐ ܣܗܕܬܐ	212	http://wwwb.library.vanderbilt.edu/work/212					
9697	The First Two Books of the Maccabees (literary tradition)			213	http://wwwb.library.vanderbilt.edu/work/213					
9698	Protoevangelium of James (literary tradition)		ܡܘܠܕܗ ܕܡܪܢ ܘܐܝܠܝܕܘܬܗ ܕܡܪܬܝ ܡܪܝܡ	214	http://wwwb.library.vanderbilt.edu/work/214	https://en.wikipedia.org/wiki/Gospel_of_James	https://www.wikidata.org/wiki/Q328435			
9699	Matthew and John (literary tradition)			216	http://wwwb.library.vanderbilt.edu/work/216					
9702	James (literary tradition)		ܐܓܪܬܐ ܕܝܥܩܘܒ ܫܠܝܚܐ	91	http://wwwb.library.vanderbilt.edu/work/91	https://en.wikipedia.org/wiki/Epistle_of_James	https://www.wikidata.org/wiki/Q131097	https://viaf.org/viaf/182251478		
9703	2 Peter (literary tradition)		ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܦܛܪܘܣ	93	http://wwwb.library.vanderbilt.edu/work/93	https://en.wikipedia.org/wiki/Second_Epistle_of_Peter	https://www.wikidata.org/wiki/Q131178			
