term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.ln	gloss.ln	gloss.grc	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Primary sources [Syriac] in Dutch translation		CBSC	primary sources [Syriac] - Dutch translation	primary-sources-syriac-in-dutch-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in English translation		CBSC	primary sources [Syriac] - English translation	primary-sources-syriac-in-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Finnish translation		CBSC	primary sources [Syriac] - Finnish translation	primary-sources-syriac-in-finnish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in French translation		CBSC	primary sources [Syriac] - French translation	primary-sources-syriac-in-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in German translation		CBSC	primary sources [Syriac] - German translation	primary-sources-syriac-in-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Greek translation		CBSC	primary sources [Syriac] - Greek translation	primary-sources-syriac-in-greek-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Hebrew translation		CBSC	primary sources [Syriac] - Hebrew translation	primary-sources-syriac-in-hebrew-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Hungarian translation		CBSC	primary sources [Syriac] - Hungarian translation	primary-sources-syriac-in-hungarian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Italian translation		CBSC	primary sources [Syriac] - Italian translation	primary-sources-syriac-in-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Latin translation		CBSC	primary sources [Syriac] - Latin translation	primary-sources-syriac-in-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Polish translation		CBSC	primary sources [Syriac] - Polish translation	primary-sources-syriac-in-polish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Romanian translation		CBSC	primary sources [Syriac] - Romanian translation	primary-sources-syriac-in-romanian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Russian translation		CBSC	primary sources [Syriac] - Russian translation	primary-sources-syriac-in-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Serbian translation		CBSC	primary sources [Syriac] - Serbian translation	primary-sources-syriac-in-serbian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Spanish translation		CBSC	primary sources [Syriac] - Spanish translation	primary-sources-syriac-in-spanish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] in Swedish translation		CBSC	primary sources [Syriac] - Swedish translation	primary-sources-syriac-in-swedish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Arabic translation		CBSC	primary sources [Syriac] + Arabic translation	primary-sources-syriac-with-arabic-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Dutch translation		CBSC	primary sources [Syriac] + Dutch translation	primary-sources-syriac-with-dutch-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with English translation		CBSC	primary sources [Syriac] + English translation	primary-sources-syriac-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Esperanto translation		CBSC	primary sources [Syriac] + Esperanto translation	primary-sources-syriac-with-esperanto-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with French translation		CBSC	primary sources [Syriac] + French translation	primary-sources-syriac-with-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with German translation		CBSC	primary sources [Syriac] + German translation	primary-sources-syriac-with-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Hebrew translation		CBSC	primary sources [Syriac] + Hebrew translation	primary-sources-syriac-with-hebrew-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Italian translation		CBSC	primary sources [Syriac] + Italian translation	primary-sources-syriac-with-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Latin translation		CBSC	primary sources [Syriac] + Latin translation	primary-sources-syriac-with-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Portuguese translation		CBSC	primary sources [Syriac] + Portuguese translation	primary-sources-syriac-with-portuguese-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Russian translation		CBSC	primary sources [Syriac] + Russian translation	primary-sources-syriac-with-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Serbian translation		CBSC	primary sources [Syriac] + Serbian translation	primary-sources-syriac-with-serbian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Spanish translation		CBSC	primary sources [Syriac] + Spanish translation	primary-sources-syriac-with-spanish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Swedish translation		CBSC	primary sources [Syriac] + Swedish translation	primary-sources-syriac-with-swedish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Syriac] with Turkish translation		CBSC	primary sources [Syriac] + Turkish translation	primary-sources-syriac-with-turkish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Turkic]		CBSC	primary sources [Turkic]	primary-sources-turkic																																												http://syriaca.org/keyword/primaries														
Primary sources [Turkic] with English translation		CBSC	primary sources [Turkic] + English translation	primary-sources-turkic-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Turkic] with German translation		CBSC	primary sources [Turkic] + German translation	primary-sources-turkic-with-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources with English translation		CBSC	primary sources + English translation	primary-sources-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources with French translation		CBSC	primary sources + French translation	primary-sources-with-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources with German translation		CBSC	primary sources + German translation	primary-sources-with-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources with Italian translation		CBSC	primary sources + Italian translation	primary-sources-with-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources with Latin translation		CBSC	primary sources + Latin translation	primary-sources-with-latin-translation																																												http://syriaca.org/keyword/primaries														
Primordial		CBSC	primordial	primordial																																																			http://syriaca.org/keyword/time							
Printing		CBSC	printing	printing	http://lccn.loc.gov/sh85106751																																																	http://syriaca.org/keyword/techne				http://syriaca.org/keyword/writing				
Profiteers		new		profiteers																																									http://syriaca.org/keyword/occupations																	
Pronouns		CBSC	pronoun	pronouns	http://lccn.loc.gov/sh85056322																																		http://syriaca.org/keyword/linguistics																							
Property		CBSC	property	property	http://lccn.loc.gov/sh85107496																			http://syriaca.org/keyword/economics																				http://syriaca.org/keyword/objects			http://syriaca.org/keyword/places					http://syriaca.org/keyword/socioeconomic-status										
Prophecy		CBSC	prophecy	prophecy	http://lccn.loc.gov/sh85107525																																												http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts									
Prophets		CBSC	Prophets	prophets																																									http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion										x	This may need to be broken out into a class of persons and a literary tradition. Do we have biblical "Prophets" (not "Major" or "Minor" but straights "Prophets") as a literary tradition?		
Protestants		CBSC	Protestants	protestants	http://lccn.loc.gov/sh85107724																http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Providence		CBSC	providence	providence																												http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Pseudonymity		CBSC	pseudonymity	pseudonymity																																				http://syriaca.org/keyword/literature																						
Psychology		CBSC	psychology	psychology	http://lccn.loc.gov/sh85108459																								http://syriaca.org/keyword/fields-of-study													http://syriaca.org/keyword/mental-states																				
Purim		CBSC	Purim	purim	http://lccn.loc.gov/sh85109186																							http://syriaca.org/keyword/events								http://syriaca.org/keyword/judaism														http://syriaca.org/keyword/ritual					http://syriaca.org/keyword/time							
Purity		CBSC	purity	purity	http://id.loc.gov/authorities/subjects/sh85109196																	http://syriaca.org/keyword/culture				http://syriaca.org/keyword/ethics																							http://syriaca.org/keyword/religion													
Quarries		CBSC	quarry	quarries				quarry																																							http://syriaca.org/keyword/places															
Question-and-answer		CBSC	question-and-answer	question-and-answer	http://id.loc.gov/authorities/subjects/sh99001794																										http://syriaca.org/keyword/genres																															
Quotations		CBSC	quotations	quotations	http://lccn.loc.gov/sh85110133																																		http://syriaca.org/keyword/linguistics	http://syriaca.org/keyword/literature																						
Quqites		CBSC	Quqites	quqites																	http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology	http://syriaca.org/keyword/institutions			http://syriaca.org/keyword/judaism																										
Rabbinic Judaism		CBSC	Rabbinic Judaism	rabbinic-judaism																												http://syriaca.org/keyword/ideology				http://syriaca.org/keyword/judaism																										
Rain		CBSC	rain	rain	http://lccn.loc.gov/sh85111188																																							http://syriaca.org/keyword/objects																		
Readers		CBSC	readers	readers	http://lccn.loc.gov/sh85111644																																								http://syriaca.org/keyword/occupations																	
Reason		CBSC	reason	reason	http://lccn.loc.gov/sh85111788																																																									
Redeemers		CBSC	redeemer	redeemers																	http://syriaca.org/keyword/christianity															http://syriaca.org/keyword/judaism										http://syriaca.org/keyword/persons																
Redemption		CBSC	redemption	redemption	http://lccn.loc.gov/sh85112112																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events				http://syriaca.org/keyword/ideology				http://syriaca.org/keyword/judaism																										
Relics		CBSC	relics	relics	http://lccn.loc.gov/sh85112514																																							http://syriaca.org/keyword/objects					http://syriaca.org/keyword/religion													
Religion	category	CBSC	religion	religion																		http://syriaca.org/keyword/culture																																								
Reliquaries		CBSC	reliquary	reliquaries				reliquary																																				http://syriaca.org/keyword/objects					http://syriaca.org/keyword/religion													
Repentance		CBSC	repentance	repentance	http://lccn.loc.gov/sh85112909																					http://syriaca.org/keyword/ethics		http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts									
Resurrection		CBSC	resurrection	resurrection	http://lccn.loc.gov/sh85113287																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																																		
Revelation		CBSC	revelation	revelation																								http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion				http://syriaca.org/keyword/speech-acts									
Rhetoric		CBSC	rhetoric	rhetoric	http://lccn.loc.gov/sh85113628																										http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature																						
Rhetors		new		rhetors				teachers of rhetoric						rhetor		ῥήτωρ									http://syriaca.org/keyword/education																				http://syriaca.org/keyword/occupations																	
Riddles		CBSC	riddles	riddles	http://lccn.loc.gov/sh85113965																										http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature																						
Rites		CBSC	rite	rites																								http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Ritual	category	category		ritual																																																										
Rivers		CBSC	rivers	rivers	http://lccn.loc.gov/sh85114250																																										http://syriaca.org/keyword/places															
Roads		CBSC	roads	roads	http://lccn.loc.gov/sh85114487																																										http://syriaca.org/keyword/places															
Roman Catholics		CBSC	Roman Catholic	roman-catholics	http://lccn.loc.gov/nb99020267																http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Rural		CBSC	rural	rural	http://lccn.loc.gov/no2011168694																																										http://syriaca.org/keyword/places															
Russian Orthodox		CBSC	Russian Orthodox	russian-orthodox	http://lccn.loc.gov/n80004099																http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Sabbath		CBSC	sabbath	sabbath	http://lccn.loc.gov/sh85116177																http://syriaca.org/keyword/christianity															http://syriaca.org/keyword/judaism														http://syriaca.org/keyword/ritual					http://syriaca.org/keyword/time							
Sabians		CBSC	Sabians	sabians																							http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions		http://syriaca.org/keyword/islam														http://syriaca.org/keyword/religion													
Sacraments		CBSC	sacraments	sacraments	http://lccn.loc.gov/sh85116252																http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy									http://syriaca.org/keyword/ritual												
Sacred site		SPEAR	sacred site	sacred-site	http://lccn.loc.gov/sh88002572																																										http://syriaca.org/keyword/places		http://syriaca.org/keyword/religion													
Sacrifices		CBSC	sacrifice	sacrifices	http://lccn.loc.gov/sh85116387																							http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Sadducees		CBSC	Sadducees	sadducees	http://lccn.loc.gov/sh85116419																												http://syriaca.org/keyword/institutions			http://syriaca.org/keyword/judaism																										
Saints		CBSC	saints	saints	http://lccn.loc.gov/sh85116629																http://syriaca.org/keyword/christianity																									http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion		http://syriaca.org/keyword/sanctity								x	What is the difference between "holy man" and "saint"?		
Salt		CBSC	salt	salt	http://lccn.loc.gov/sh85116850																																							http://syriaca.org/keyword/objects																		
Sanctity	category	CBSC	holiness	sanctity	http://lccn.loc.gov/sh85061479																					http://syriaca.org/keyword/ethics																							http://syriaca.org/keyword/religion													
Sanctus		CBSC	Sanctus	sanctus																	http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy									http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts									
Sarcophagos		CBSC	sarcophagos	sarcophagos	http://lccn.loc.gov/sh85117506																																							http://syriaca.org/keyword/objects																		
Sassanians		CBSC	Sassanians	sassanians	http://lccn.loc.gov/sh85117620																		http://syriaca.org/keyword/dynasties																																							
Scholia		CBSC	scholia	scholia	http://lccn.loc.gov/sh85118249																																			http://syriaca.org/keyword/literature																			x	NHSL "scholion" http://id.loc.gov/authorities/subjects/sh85118249 or http://id.loc.gov/authorities/subjects/sh99001778 ? Or genre? NG 11/18/16		
School of the Persians		SPEAR	school of the Persians	school-of-the-persians																					http://syriaca.org/keyword/education								http://syriaca.org/keyword/institutions																													
Schools		CBSC	schools	schools	http://lccn.loc.gov/sh85118451																				http://syriaca.org/keyword/education								http://syriaca.org/keyword/institutions														http://syriaca.org/keyword/places															
Science		CBSC	science	science	http://lccn.loc.gov/sh85118553																								http://syriaca.org/keyword/fields-of-study																																	
Scribes		CBSC	scribes	scribes	http://lccn.loc.gov/sh87005292																																								http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons												http://syriaca.org/keyword/writing				
Sculptors		new		sculptors				maker of statues						marmorarius																															http://syriaca.org/keyword/occupations																	
Sculptures		CBSC	sculpture	sculptures	http://lccn.loc.gov/sh85119004															http://syriaca.org/keyword/art																								http://syriaca.org/keyword/objects										http://syriaca.org/keyword/techne								
Seal		CBSC	seal	seal	http://lccn.loc.gov/sh85119321			anointing													http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy									http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts						x	What is the difference between "anointing" and "seal"?		
Seals		CBSC	seals	seals	http://id.loc.gov/authorities/subjects/sh85119320			sigilla																																http://syriaca.org/keyword/literature				http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Seas		CBSC	sea	seas	http://lccn.loc.gov/sh85093871																																										http://syriaca.org/keyword/places															
Secular		CBSC	secular	secular																												http://syriaca.org/keyword/ideology																														
Sedre		CBSC	Sedre	sedre																											http://syriaca.org/keyword/genres																															
Self-references		CBSC	self-references	self-references													Used for preferred ways that individuals and groups refer to themselves.																http://syriaca.org/keyword/institutions																				http://syriaca.org/keyword/speech-acts									
Senaya		CBSC	Senaya	senaya																																	http://syriaca.org/keyword/languages																									
Senses		CBSC	senses	senses	http://lccn.loc.gov/sh85120047																																																									
Sentences		CBSC	sentence	sentences																																				http://syriaca.org/keyword/literature																						
Sermon on the Mount		CBSC	Sermon on the Mount	sermon-on-the-mount																	http://syriaca.org/keyword/christianity					http://syriaca.org/keyword/ethics																											http://syriaca.org/keyword/speech-acts									
Sermons		CBSC	sermons	sermons	http://lccn.loc.gov/sh85120261																										http://syriaca.org/keyword/genres																		http://syriaca.org/keyword/religion				http://syriaca.org/keyword/speech-acts						x	What is the technical difference b/t sermons and homilies?		
Serpents		CBSC	serpent	serpents	http://lccn.loc.gov/sh85120309														http://syriaca.org/keyword/animals																																											
Sexuality		CBSC	sexuality	sexuality	http://lccn.loc.gov/sh85120549																	http://syriaca.org/keyword/culture				http://syriaca.org/keyword/ethics				http://syriaca.org/keyword/gender												http://syriaca.org/keyword/mental-states																				
Shahs		SPEAR	shah	shahs														http://syriaca.org/keyword/administration																											http://syriaca.org/keyword/occupations							http://syriaca.org/keyword/socioeconomic-status										
Shame		CBSC	shame	shame	http://lccn.loc.gov/sh85121092																					http://syriaca.org/keyword/ethics																http://syriaca.org/keyword/mental-states																				
Shekhina		CBSC	Shekhina	shekhina	http://lccn.loc.gov/sh85106441																http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology				http://syriaca.org/keyword/judaism																										
Shipbuilders		new		shipbuilders																																									http://syriaca.org/keyword/occupations																	
Ships		CBSC	ship	ships	http://lccn.loc.gov/sh85121591																																							http://syriaca.org/keyword/objects																		
Shoemakers		new		shoemakers				cobblers						sutor																															http://syriaca.org/keyword/occupations																	
Silence		CBSC	silence	silence	http://lccn.loc.gov/sh85122464																																																									
Silk		CBSC	silk	silk	http://lccn.loc.gov/sh85122543																			http://syriaca.org/keyword/economics																				http://syriaca.org/keyword/objects																		
Sin		CBSC	Sin	sin	http://lccn.loc.gov/sh85122772																					http://syriaca.org/keyword/ethics						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Singing		CBSC	singing	singing	http://lccn.loc.gov/sh85122827															http://syriaca.org/keyword/art																																	http://syriaca.org/keyword/speech-acts	http://syriaca.org/keyword/techne								
Singleness		CBSC	singleness	singleness																	http://syriaca.org/keyword/christianity					http://syriaca.org/keyword/ethics						http://syriaca.org/keyword/ideology																														
Skilled laborers		SPEAR	skilled laborer	skilled-laborers																																									http://syriaca.org/keyword/occupations																	
Slavery		CBSC	slavery	slavery	http://lccn.loc.gov/sh85123314																			http://syriaca.org/keyword/economics								http://syriaca.org/keyword/ideology	http://syriaca.org/keyword/institutions																													
Slaves		new		slaves	http://id.loc.gov/authorities/subjects/sh85123347			enslaved persons																																												http://syriaca.org/keyword/socioeconomic-status										
Slaves, domestic		new		slaves-domestic				household slaves	house slaves																																											http://syriaca.org/keyword/socioeconomic-status										
Slavs		CBSC	Slavs	slavs	http://lccn.loc.gov/sh85123385																						http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Sleep		CBSC	sleep	sleep	http://lccn.loc.gov/sh85123396																							http://syriaca.org/keyword/events														http://syriaca.org/keyword/mental-states																				
Smell		CBSC	smell	smell	http://lccn.loc.gov/sh85123629																																					http://syriaca.org/keyword/mental-states																				
Society		CBSC	society	society																		http://syriaca.org/keyword/culture											http://syriaca.org/keyword/institutions																													
Socioeconomic Status	category	category		socioeconomic-status																																																										
Sociolinguistics		CBSC	sociolinguistics	sociolinguistics																									http://syriaca.org/keyword/fields-of-study																																	
Sociology		CBSC	sociology	sociology	http://lccn.loc.gov/sh85124200																	http://syriaca.org/keyword/culture							http://syriaca.org/keyword/fields-of-study																																	
Sogdians		CBSC	Sogdians	sogdians																							http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Soteriology		CBSC	soteriology	soteriology	http://lccn.loc.gov/sh2002004790																											http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Souls		CBSC	soul	souls	http://lccn.loc.gov/sh85125350																																												http://syriaca.org/keyword/religion													
Spanish translation		CBSC	Spanish translation	spanish-translation																																																				http://syriaca.org/keyword/translation						
Speech Acts	category	category		speech-acts																																																										
Spinners		new		spinners										lanifica																															http://syriaca.org/keyword/occupations																	
Spirits		CBSC	spirit	spirits	http://lccn.loc.gov/sh85126742																																									http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion													
Spiritual or Ascetic Disciplines		NHSL		spiritual-or-ascetic-disciplines																																												http://syriaca.org/keyword/primaries											x	See "Monastic and religious life" (http://id.loc.gov/authorities/subjects/sh85086703) and "Spiritual Formation" (http://id.loc.gov/authorities/subjects/sh89003236) and "Asceticism" (CBSC keyword and http://id.loc.gov/authorities/subjects/sh85008537) and "Spiritual life" ( http://id.loc.gov/authorities/subjects/sh85126758) -- NG 11/22/16 for NHSL		
Spirituality		CBSC	spirituality	spirituality	http://lccn.loc.gov/sh85126779																																												http://syriaca.org/keyword/religion													
Stars		CBSC	stars	stars	http://lccn.loc.gov/sh85127415																																							http://syriaca.org/keyword/objects																		
Stewards		new		stewards				treasurers	managers					dispensator																															http://syriaca.org/keyword/occupations																	
Stoicism		CBSC	Stoicism	stoicism																						http://syriaca.org/keyword/ethics						http://syriaca.org/keyword/ideology																														
Stones		CBSC	stones	stones	http://lccn.loc.gov/sh85128287																																							http://syriaca.org/keyword/objects																		
Students		new		students				disciples																	http://syriaca.org/keyword/education																				http://syriaca.org/keyword/occupations																	
Stylites		CBSC	stylites	stylites	http://lccn.loc.gov/sh85102140																http://syriaca.org/keyword/christianity																						http://syriaca.org/keyword/monasticism		http://syriaca.org/keyword/occupations					http://syriaca.org/keyword/ritual												
Succession		CBSC	succession	succession														http://syriaca.org/keyword/administration										http://syriaca.org/keyword/events																																		
Suffering		CBSC	suffering	suffering	http://lccn.loc.gov/sh85129634																																					http://syriaca.org/keyword/mental-states																				
Sulemaniyya		CBSC	Sulemaniyya	sulemaniyya																																	http://syriaca.org/keyword/languages																									
Sun		CBSC	sun	sun	http://lccn.loc.gov/sh85130462																																							http://syriaca.org/keyword/objects																		
Sunday		CBSC	Sunday	sunday	http://lccn.loc.gov/sh85130512																																																		http://syriaca.org/keyword/time							
Symbols		CBSC	symbols	symbols	http://lccn.loc.gov/sh85122415																	http://syriaca.org/keyword/culture																			http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects						http://syriaca.org/keyword/ritual												
Synagogues		CBSC	synagogues	synagogues	http://lccn.loc.gov/sh85131580																															http://syriaca.org/keyword/judaism											http://syriaca.org/keyword/places															
Synaxaries		CBSC	synaxaries	synaxaries	http://lccn.loc.gov/sh85131600			synaxarion	synaxaria																						http://syriaca.org/keyword/genres																															
Syncretism		CBSC	syncretism	syncretism																		http://syriaca.org/keyword/culture										http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Syntax		CBSC	syntax	syntax	http://lccn.loc.gov/sh85131652 																																		http://syriaca.org/keyword/linguistics																							
Syriac influence [Arabs]		CBSC	Syriac influence [Arabs]	syriac-influence-arabs																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Armenia]		CBSC	Syriac influence [Armenia]	syriac-influence-armenia																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Byzantine church]		CBSC	Syriac influence [Byzantine church]	syriac-influence-byzantine-church																	http://syriaca.org/keyword/christianity	http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Central Asia]		CBSC	Syriac influence [Central Asia]	syriac-influence-central-asia																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [China]		CBSC	Syriac influence [China]	syriac-influence-china																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Egypt]		CBSC	Syriac influence [Egypt]	syriac-influence-egypt																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Ethiopia]		CBSC	Syriac influence [Ethiopia]	syriac-influence-ethiopia																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Europe]		CBSC	Syriac influence [Europe]	syriac-influence-europe																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Georgia]		CBSC	Syriac influence [Georgia]	syriac-influence-georgia																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [India]		CBSC	Syriac influence [India]	syriac-influence-india																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Judaism]		CBSC	Syriac influence [Judaism]	syriac-influence-judaism																	http://syriaca.org/keyword/christianity	http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality		http://syriaca.org/keyword/judaism																										
Syriac influence [Kurds]		CBSC	Syriac influence [Kurds]	syriac-influence-kurds																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Persia]		CBSC	Syriac influence [Persia]	syriac-influence-persia																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac influence [Slavs]		CBSC	Syriac influence [Slavs]	syriac-influence-slavs																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Syriac language		CBSC	Syriac language	syriac-language			ISO 639-2: syr																														http://syriaca.org/keyword/languages																									
Syriac studies		CBSC	Syriac studies	syriac-studies																									http://syriaca.org/keyword/fields-of-study																																	
Syriac text		CBSC	Syriac text	syriac-text																																			http://syriaca.org/keyword/linguistics	http://syriaca.org/keyword/literature																						
Syriacisms		CBSC	Syriacisms	syriacisms																														http://syriaca.org/keyword/intertextuality					http://syriaca.org/keyword/linguistics																							
Syro-Armenian		CBSC	Syro-Armenian	syro-armenian																														http://syriaca.org/keyword/intertextuality																						http://syriaca.org/keyword/translation						
Syro-Catholics		CBSC	Syro-Catholics	syro-catholics																	http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Syro-Coptic		CBSC	Syro-Coptic	syro-coptic																														http://syriaca.org/keyword/intertextuality																						http://syriaca.org/keyword/translation						
Syro-Malabar		CBSC	Syro-Malabar	syro-malabar	http://lccn.loc.gov/no00085368 																http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Syro-Malankar		CBSC	Syro-Malankar	syro-malankar																	http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Taoism		CBSC	Taoism	taoism																																													http://syriaca.org/keyword/religion													
Targums		CBSC	Targums	targums																											http://syriaca.org/keyword/genres																															
Taxes		CBSC	taxes	taxes	http://lccn.loc.gov/sh85132846													http://syriaca.org/keyword/administration						http://syriaca.org/keyword/economics														http://syriaca.org/keyword/law						http://syriaca.org/keyword/objects																		
Teachers		new		teachers				instructors																	http://syriaca.org/keyword/education																				http://syriaca.org/keyword/occupations																	
Tears		CBSC	tears	tears	http://lccn.loc.gov/sh92001016																																							http://syriaca.org/keyword/objects																		
Techne	category	category		techne				skills	abilities																																																					
Temples		CBSC	temple	temples	http://lccn.loc.gov/sh85133743																																										http://syriaca.org/keyword/places		http://syriaca.org/keyword/religion													
Teshbhata		CBSC	teshbhata	teshbhata																																				http://syriaca.org/keyword/literature	http://syriaca.org/keyword/liturgy																					
Testimonia		CBSC	testimonia	testimonia																																				http://syriaca.org/keyword/literature																						
