term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.ln	gloss.ln	gloss.grc	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Apocatastasis		CBSC	apocatastasis	apocatastasis	http://id.loc.gov/authorities/subjects/sh85113274			restorationism													http://syriaca.org/keyword/christianity																																									
Apologetics		CBSC	apologetics	apologetics	http://id.loc.gov/authorities/subjects/sh85006028			evidences	theological polemics																																								http://syriaca.org/keyword/religion													
Apostasy		CBSC	apostasy	apostasy	http://id.loc.gov/authorities/subjects/sh85006048			heresy																																									http://syriaca.org/keyword/religion													
Apostles		CBSC	apostles	apostles	http://id.loc.gov/authorities/subjects/sh85006053			disciples													http://syriaca.org/keyword/christianity																								http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons																
Apostolic succession		CBSC	apostolic succession	apostolic-succession	http://id.loc.gov/authorities/subjects/sh85006060																http://syriaca.org/keyword/christianity																																									
Arab Christians		CBSC	Arab Christians	arab-christians																													http://syriaca.org/keyword/institutions																http://syriaca.org/keyword/religion													
Arab conquest		CBSC	Arab conquest	arab-conquest																								http://syriaca.org/keyword/events																																		
Arabic		CBSC	Arabic	arabic																																																							x	Is this anything other than Arabic language in CBSC?		
Arabic influence		CBSC	Arabic influence	arabic-influence																		http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Arabic language		CBSC	Arabic language	arabic-language	http://id.loc.gov/authorities/subjects/sh85006306		ISO 639-1: ar																														http://syriaca.org/keyword/languages																									
Arabs		CBSC	Arabs	arabs	http://id.loc.gov/authorities/subjects/sh85006349			Saracens	Hagarites																		http://syriaca.org/keyword/ethnicity																																			
Archaeology		CBSC	archaeology	archaeology	http://id.loc.gov/authorities/subjects/sh85006507			archeology																					http://syriaca.org/keyword/fields-of-study																																	
Architects		new		architects	http://id.loc.gov/authorities/subjects/sh2002008689			building designer																																					http://syriaca.org/keyword/occupations																	
Architecture		CBSC	architecture	architecture	http://id.loc.gov/authorities/subjects/sh85006611			building design												http://syriaca.org/keyword/art																																										
Archivists		SPEAR	archivist	archivists	http://id.loc.gov/authorities/subjects/sh85006928			keeper of archives	librarians	notary	registrar			tabularius																															http://syriaca.org/keyword/occupations																	
Arianism		CBSC	Arianism	arianism	http://id.loc.gov/authorities/subjects/sh85007137																http://syriaca.org/keyword/christianity																																									
Ark		CBSC	ark	ark																																http://syriaca.org/keyword/judaism								http://syriaca.org/keyword/objects															x	Ark of the Covenant (http://id.loc.gov/authorities/subjects/sh85007198) or Noah's Ark (http://id.loc.gov/authorities/subjects/sh85092133)? We should probably split these but I want to check CBSC first.		
Armies		CBSC	army	armies	http://id.loc.gov/authorities/subjects/sh85007309			army	military									http://syriaca.org/keyword/administration															http://syriaca.org/keyword/institutions																													
Art	category	CBSC	art	art	http://id.loc.gov/authorities/subjects/sh85007461			arts																																																						
Artisans		new		artisans	http://id.loc.gov/authorities/subjects/sh85008265			artist	craftsman	craftswoman	craftsperson																																		http://syriaca.org/keyword/occupations																	
Artistic prose		CBSC	artistic prose	artistic-prose																																				http://syriaca.org/keyword/literature																						
Ascension		CBSC	Ascension	ascension	http://id.loc.gov/authorities/subjects/sh85069965																http://syriaca.org/keyword/christianity																																									
Asceticism		CBSC	asceticism	asceticism	http://id.loc.gov/authorities/subjects/sh85008537			ascetic																																									http://syriaca.org/keyword/religion													
Ashitha		CBSC	Ashitha	ashitha																																	http://syriaca.org/keyword/languages																									
Assumption		CBSC	Assumption	assumption	http://id.loc.gov/authorities/subjects/sh85081699			Assumption of Mary						transitus Mariae							http://syriaca.org/keyword/christianity																																									
Assyrians		CBSC	Assyrians	assyrians	http://id.loc.gov/authorities/subjects/sh85008832																						http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Astrology		CBSC	astrology	astrology	http://id.loc.gov/authorities/subjects/sh85008893			horoscopy																																									http://syriaca.org/keyword/religion													
Astronomy		CBSC	astronomy	astronomy	http://id.loc.gov/authorities/subjects/sh85009003																http://syriaca.org/keyword/christianity								http://syriaca.org/keyword/fields-of-study																																	
Audians		CBSC	Audians	audians																													http://syriaca.org/keyword/institutions																http://syriaca.org/keyword/religion													
Authority		CBSC	authority	authority	http://id.loc.gov/authorities/subjects/sh85009789			authoritarianism																																																						
Avars		CBSC	Avars	avars	http://id.loc.gov/authorities/subjects/sh85010504			Andis	Ruanruan																		http://syriaca.org/keyword/ethnicity																																			
Bakers		new		bakers	http://id.loc.gov/authorities/subjects/sh2005006563									pistores																															http://syriaca.org/keyword/occupations																	
Bankers		new		bankers	http://id.loc.gov/authorities/subjects/sh85011595									negotiatores																															http://syriaca.org/keyword/occupations																	
Baptism		CBSC	baptism	baptism	http://id.loc.gov/authorities/subjects/sh85011718																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events								http://syriaca.org/keyword/judaism					http://syriaca.org/keyword/liturgy								http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Baptisteries		CBSC	baptistery	baptisteries	http://id.loc.gov/authorities/subjects/sh85011738																http://syriaca.org/keyword/christianity																										http://syriaca.org/keyword/places															
Baptists		CBSC	baptists	baptists																	http://syriaca.org/keyword/christianity																												http://syriaca.org/keyword/religion													
Bardesanites		CBSC	Bardesanites	bardesanites																	http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Barwar		CBSC	Barwar	barwar																																	http://syriaca.org/keyword/languages																									
Baths		CBSC	baths	baths	http://id.loc.gov/authorities/subjects/sh85012337			gymnasiums																																							http://syriaca.org/keyword/places															
Behemoth		CBSC	Behemoth	behemoth	http://id.loc.gov/authorities/subjects/sh2006000505														http://syriaca.org/keyword/animals																																											
Bema		CBSC	Bema	bema																	http://syriaca.org/keyword/christianity																																									
Bible		NHSL	Bible	bible	http://id.loc.gov/authorities/subjects/sh2006000505																										http://syriaca.org/keyword/genres																	http://syriaca.org/keyword/primaries														
Bible Commentary		NHSL	Bible Commentary	bible-commentary	http://id.loc.gov/authorities/subjects/sh85013597			exegesis	interpretation																						http://syriaca.org/keyword/genres																	http://syriaca.org/keyword/primaries														
Bible Vocalization (Masora)		NHSL	Bible Vocalization (Masora)	bible-vocalization-masora																																												http://syriaca.org/keyword/primaries											x	Should this be "vocalization" http://id.loc.gov/authorities/subjects/sh2002006453.html + "Bible"? Should it be a genre? NG 11/18/16 for NHSL		
Bibliography		CBSC	bibliography	bibliography	http://id.loc.gov/authorities/subjects/sh85013597			works cited																					http://syriaca.org/keyword/fields-of-study																																	
Bilingualism		CBSC	bilingualism	bilingualism	http://id.loc.gov/authorities/subjects/sh85014030																																		http://syriaca.org/keyword/linguistics																							
Biography		CBSC	biography	biography	http://id.loc.gov/authorities/subjects/sh85014152			biographies	life histories	life history																					http://syriaca.org/keyword/genres																															
Birds		CBSC	birds	birds	http://id.loc.gov/authorities/subjects/sh85014310														http://syriaca.org/keyword/animals																																											
Birth		CBSC	birth	birth	http://id.loc.gov/authorities/subjects/sh86004053																							http://syriaca.org/keyword/events																																		
Bishops		CBSC	bishops	bishops	http://id.loc.gov/authorities/subjects/sh85014419			bishop	episcopus	episkopos	episcopal										http://syriaca.org/keyword/christianity																								http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons																
Blacksmiths		new		blacksmiths	http://id.loc.gov/authorities/subjects/sh85014713			ironsmiths	smiths																																				http://syriaca.org/keyword/occupations																	
Blame		CBSC	blame	blame	http://id.loc.gov/authorities/subjects/sh89003476			accuse	fault																	http://syriaca.org/keyword/ethics														http://syriaca.org/keyword/literature													http://syriaca.org/keyword/speech-acts									
Blessing		CBSC	blessing	blessing	http://id.loc.gov/authorities/subjects/sh85013121			benediction																																									http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts									
Blood		CBSC	blood	blood	http://id.loc.gov/authorities/subjects/sh85014927																																							http://syriaca.org/keyword/objects																		
Bnai qyama		CBSC	bnai qyama	bnai-qyama				Sons of the Covenant	Daughters of the covenant	bar qyomo	bat qyomo	bar qyama	bat qyama								http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Body		CBSC	body	body	http://id.loc.gov/authorities/subjects/sh85015222			corporeal	flesh																																			http://syriaca.org/keyword/objects																		
Bohtan		CBSC	Bohtan	bohtan																																	http://syriaca.org/keyword/languages																									
Books		CBSC	books	books	http://id.loc.gov/authorities/subjects/sh85015738			codex	codices																																			http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Borborites		CBSC	Borborites	borborites																	http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Boundaries		CBSC	boundaries	boundaries	http://id.loc.gov/authorities/subjects/sh85016091			boundary	borders	perimeters																																					http://syriaca.org/keyword/places															
Bread		CBSC	bread	bread	http://id.loc.gov/authorities/subjects/sh85016646			loaf	loaves																																			http://syriaca.org/keyword/objects																		
Breviaries		CBSC	breviary	breviaries	http://id.loc.gov/authorities/subjects/sh85016762			breviary	liturgical book	liturgical books											http://syriaca.org/keyword/christianity										http://syriaca.org/keyword/genres										http://syriaca.org/keyword/liturgy																					
Buddhism		CBSC	Buddhism	buddhism	http://id.loc.gov/authorities/subjects/sh85017454																																												http://syriaca.org/keyword/religion													
Builders		new		builders	http://id.loc.gov/authorities/subjects/sh2002008689									structores																															http://syriaca.org/keyword/occupations																	
Buildings		CBSC	building	buildings	http://id.loc.gov/authorities/subjects/sh85017693			building	construction	edifice										http://syriaca.org/keyword/art																											http://syriaca.org/keyword/places															
Burial		CBSC	burial	burial	http://id.loc.gov/authorities/subjects/sh85018080			interment																				http://syriaca.org/keyword/events																						http://syriaca.org/keyword/ritual												
Business agents		new		business-agents										pragmateutai																															http://syriaca.org/keyword/occupations																	
Byzantine church		CBSC	Byzantine church	byzantine-church																	http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Caesars		SPEAR	caesars	caesars														http://syriaca.org/keyword/administration																											http://syriaca.org/keyword/occupations							http://syriaca.org/keyword/socioeconomic-status										
Calendar		CBSC	calendar	calendar	http://id.loc.gov/authorities/subjects/sh85018851			dates	dating																																http://syriaca.org/keyword/liturgy																					
Calligraphy		CBSC	calligraphy	calligraphy	http://id.loc.gov/authorities/subjects/sh85018955			writing	hand	hands										http://syriaca.org/keyword/art																																		http://syriaca.org/keyword/techne								
Canon		CBSC	canon	canon	http://id.loc.gov/authorities/subjects/sh85013589			official texts	accepted texts	measure											http://syriaca.org/keyword/christianity																			http://syriaca.org/keyword/literature																						
Canon law		CBSC	canon law	canon-law	http://id.loc.gov/authorities/subjects/sh85019646			ecclesiastical law	church law	canons of the church								http://syriaca.org/keyword/administration								http://syriaca.org/keyword/ethics					http://syriaca.org/keyword/genres							http://syriaca.org/keyword/law																					x	LC has this specifically tied to Roman Church		
Cappadocians		CBSC	Cappadocians	cappadocians	http://id.loc.gov/authorities/subjects/sh86001356																												http://syriaca.org/keyword/institutions																													
Castles		CBSC	castles	castles	http://id.loc.gov/authorities/subjects/sh85020702			fortresses	fortified residence																																						http://syriaca.org/keyword/places															
Catechesis		CBSC	catechesis	catechesis	http://id.loc.gov/authorities/subjects/sh85020981			christian education	catechetics	catechisms	catechetical										http://syriaca.org/keyword/christianity				http://syriaca.org/keyword/education																http://syriaca.org/keyword/liturgy									http://syriaca.org/keyword/ritual												
Catenae		CBSC	catena	catenae	http://id.loc.gov/authorities/subjects/sh85020995			catena																																http://syriaca.org/keyword/literature																						
Caves		CBSC	caves	caves	http://id.loc.gov/authorities/subjects/sh85021504			caverns	grottoes	rock shelters	rockshelters																																				http://syriaca.org/keyword/places															
Celibacy		CBSC	celibacy	celibacy	http://id.loc.gov/authorities/subjects/sh85021634			singleness	unmarried																	http://syriaca.org/keyword/ethics																							http://syriaca.org/keyword/religion													
Chaldeans		CBSC	Chaldeans	chaldeans	http://id.loc.gov/authorities/subjects/sh85022386																http://syriaca.org/keyword/christianity						http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Chalices		CBSC	chalice	chalices	http://id.loc.gov/authorities/subjects/sh85022389			communion cups													http://syriaca.org/keyword/christianity																							http://syriaca.org/keyword/objects																		
Charity		CBSC	charity	charity	http://id.loc.gov/authorities/subjects/sh85022672																					http://syriaca.org/keyword/ethics																																	x	LOC has the same subject for "alms" and for "charity"		
Cheirograph		CBSC	cheirograph	cheirograph														http://syriaca.org/keyword/administration			http://syriaca.org/keyword/christianity																			http://syriaca.org/keyword/literature																						
Chemistry		CBSC	chemistry	chemistry	http://id.loc.gov/authorities/subjects/sh85022986																				http://syriaca.org/keyword/education				http://syriaca.org/keyword/fields-of-study																																	
Children		CBSC	children	children	http://id.loc.gov/authorities/subjects/sh85023418			youths	kids	childhood	youngsters																																			http://syriaca.org/keyword/persons																
Chiliasm		CBSC	chiliasm	chiliasm	http://id.loc.gov/authorities/subjects/sh85085387			millenarianism	millennianism	millennialism											http://syriaca.org/keyword/christianity																																									
Chora		CBSC	chora	chora																																											http://syriaca.org/keyword/places												x	Probably referring to the "countryside" rather than a specific district. What is the difference between "chora" and "countryside" in CBSC?		
Christian Arabic		CBSC	Christian Arabic	christian-arabic	http://id.loc.gov/authorities/subjects/sh92002120																																http://syriaca.org/keyword/languages																									
Christian Palestinian Aramaic		CBSC	Christian Palestinian Aramaic	christian-palestinian-aramaic				CPA																													http://syriaca.org/keyword/languages																						x	LOC groups Christian and Jewish texts under Syriac language, Palestinian: http://id.loc.gov/authorities/subjects/sh85131710		
Christianity	category	CBSC	Christianity	christianity	http://id.loc.gov/authorities/subjects/sh85025219			Jesus movement	Jesus movements																																								http://syriaca.org/keyword/religion													
Christianization		CBSC	Christianization	christianization	http://id.loc.gov/authorities/subjects/sh2009118745			conversion to Christianity													http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																																		
Christology		CBSC	Christology	christology	http://id.loc.gov/authorities/subjects/sh91004806																http://syriaca.org/keyword/christianity																																									
Chronicles		CBSC	chronicles	chronicles																																				http://syriaca.org/keyword/literature																						
Chronology		CBSC	chronology	chronology	http://id.loc.gov/authorities/subjects/sh85025406			eras																																															http://syriaca.org/keyword/time							
Churches		CBSC	churches	churches	http://id.loc.gov/authorities/subjects/sh85025854			church buildings													http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions														http://syriaca.org/keyword/places															
Circumcision		CBSC	circumcision	circumcision	http://id.loc.gov/authorities/subjects/sh85026074			foreskin removal																												http://syriaca.org/keyword/judaism													http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Cities		CBSC	cities	cities	http://id.loc.gov/authorities/subjects/sh85026130			city	town	settlement	municipality																																				http://syriaca.org/keyword/places															
